Year,All food,Food away from home,Food at home,
1974,14.3,12.7,14.9,
1975,8.5,9.4,8.2,
1976,3.0,6.8,2.1,
1977,6.3,7.6,5.9,
1978,9.9,9.1,10.5,
1979,11.0,11.1,10.8,
1980,8.6,9.9,8.1,
1981,7.8,9.0,7.2,
1982,4.1,5.4,3.5,
1983,2.1,4.4,1.0,
1984,3.8,4.2,3.7,
1985,2.3,3.9,1.5,
1986,3.2,3.9,2.9,
1987,4.1,4.0,4.3,
1988,4.1,4.1,4.2,
1989,5.8,4.6,6.5,
1990,5.8,4.7,6.5,
1991,2.9,3.4,2.6,
1992,1.2,2.0,0.7,
1993,2.2,1.8,2.4,
1994,2.4,1.7,2.9,
1995,2.8,2.3,3.3,
1996,3.3,2.5,3.7,
1997,2.6,2.8,2.5,
1998,2.2,2.6,1.9,
1999,2.1,2.5,1.9,
2000,2.3,2.4,2.3,
2001,3.2,2.9,3.3,
2002,1.8,2.5,1.3,
2003,2.2,2.1,2.2,
2004,3.4,3.0,3.8,
2005,2.4,3.1,1.9,
2006,2.4,3.1,1.7,
2007,4.0,3.6,4.2,
2008,5.5,4.4,6.4,
2009,1.8,3.5,0.5,
2010,0.8,1.3,0.3,
2011,3.7,2.3,4.8,
2012,2.6,2.8,2.5,
2013,1.4,2.1,0.9,
2014,2.4,2.4,2.4,
2015,1.9,2.9,1.2,
2016,0.3,2.6,-1.3,
2017,0.9,2.3,-0.2,
2018,1.4,2.6,0.4,
2019,1.9,3.1,0.9,
2020,3.4,3.4,3.5,
2021,3.9,4.5,3.5,
2022,9.9,7.7,11.4,
2023,5.8,7.1,5.0,
